timestamp,vehicle_id,tag_id,plaza_id,lane_id,direction,axle_count,vehicle_class,vehicle_type,speed_kmph,length_m,weight_kg,overweight_flag,violation_flag,passage_id,trip_id,front_image,rear_image,rfid_status,dsrc_status,loop_status,camera_status,gantry_status,antenna_id,reader_id,eh_status,transaction_type,plaza_zone,operator_id,weather_condition,temperature_c,humidity_percent,lane_mode,equipment_status,manual_override,entry_station,exit_station,class_by_operator,class_by_system,trip_distance_km,trip_time_sec,trip_complete,uplink_status,downlink_status,plate_detected,ocr_match_flag,video_flag,alarm_raised,event_code,event_desc,notes
2025-06-20 07:38:50,VEH100000,TAG1393,7,3,S,4,HCV,Commercial,99.62,7.04,10824.4,1,1,PASS0,TRIP0,front_0.jpg,rear_0.jpg,Success,Valid,Active,Faulty,Online,1,1,OK,Exit,A,OP515,Clear,15.2,26.4,Auto,Faulty,No,StationC,StationY,Car,Truck,44.4,4168,Yes,Success,Fail,Yes,Mismatch,Available,Axle Mismatch,144,Manual Entry,
2025-06-20 21:49:16,VEH100001,TAG1936,4,5,E,5,Bus,Private,41.11,8.99,10394.3,0,1,PASS1,TRIP1,front_1.jpg,rear_1.jpg,Fail,Invalid,Inactive,Faulty,Offline,3,5,OK,Entry,A,OP996,Fog,26.0,85.2,Auto,Faulty,No,StationB,StationZ,Truck,Truck,44.4,6904,No,Success,Fail,No,Mismatch,Missing,Tamper,734,Normal,
2025-06-25 03:12:52,VEH100002,TAG6187,8,1,S,5,HCV,Private,86.37,12.62,18385.9,0,1,PASS2,TRIP2,front_2.jpg,rear_2.jpg,Success,Valid,Active,Faulty,Offline,2,2,Error,Exit,A,OP340,Rain,11.4,40.9,Manual,Good,Yes,StationC,StationZ,Truck,Car,44.4,1638,Yes,Success,Success,Yes,Mismatch,Missing,None,481,Error,
2025-06-27 06:28:20,VEH100003,TAG4089,5,5,E,3,LCV,Commercial,55.06,14.78,10211.9,1,1,PASS3,TRIP3,front_3.jpg,rear_3.jpg,Success,Valid,Active,Working,Online,4,9,Error,Exit,C,OP716,Rain,10.6,35.3,Auto,Faulty,No,StationA,StationY,Bus,Car,44.4,6468,Yes,Fail,Success,Yes,Mismatch,Available,Speed,126,Error,
2025-06-20 05:18:18,VEH100004,TAG8957,7,3,S,2,Bus,Commercial,106.77,14.22,23485.3,0,0,PASS4,TRIP4,front_4.jpg,rear_4.jpg,Success,Valid,Active,Faulty,Online,3,7,Error,Entry,C,OP814,Fog,25.4,41.1,Auto,Good,No,StationC,StationX,Car,Truck,44.4,6337,Yes,Fail,Fail,Yes,Mismatch,Available,Speed,804,Manual Entry,
2025-06-21 13:17:20,VEH100005,TAG4792,3,3,E,2,LCV,Commercial,113.55,14.24,2867.1,1,0,PASS5,TRIP5,front_5.jpg,rear_5.jpg,Success,Valid,Inactive,Faulty,Online,4,8,OK,Exit,B,OP792,Clear,18.9,62.3,Manual,Good,No,StationA,StationZ,Car,Bus,44.4,6937,Yes,Fail,Fail,No,Mismatch,Available,None,596,Error,
2025-06-18 13:26:51,VEH100006,TAG8950,7,1,E,5,Car,Private,119.68,8.13,20083.3,0,0,PASS6,TRIP6,front_6.jpg,rear_6.jpg,Fail,Valid,Active,Working,Offline,2,6,OK,Exit,C,OP825,Clear,33.9,25.6,Auto,Faulty,Yes,StationC,StationY,Car,Truck,44.4,652,Yes,Fail,Fail,Yes,Mismatch,Missing,Axle Mismatch,951,Override,
2025-06-16 20:09:16,VEH100007,TAG2548,8,4,S,4,LCV,Private,101.64,8.89,24428.5,0,0,PASS7,TRIP7,front_7.jpg,rear_7.jpg,Success,Valid,Inactive,Faulty,Offline,3,9,OK,Exit,B,OP566,Rain,35.3,56.1,Auto,Good,No,StationB,StationX,Bus,Car,44.4,5264,No,Success,Fail,Yes,Mismatch,Available,Tamper,235,Override,
2025-06-25 13:52:36,VEH100008,TAG2272,5,2,W,3,LCV,Private,97.84,11.61,20446.7,0,1,PASS8,TRIP8,front_8.jpg,rear_8.jpg,Fail,Invalid,Inactive,Working,Online,4,6,OK,Exit,B,OP912,Rain,41.3,87.2,Auto,Faulty,No,StationB,StationZ,Bus,Bus,44.4,3488,No,Fail,Fail,No,Match,Missing,Speed,806,Manual Entry,
2025-06-27 15:56:32,VEH100009,TAG1917,4,3,N,4,HCV,Commercial,49.4,14.11,15319.1,1,0,PASS9,TRIP9,front_9.jpg,rear_9.jpg,Success,Valid,Inactive,Working,Offline,3,7,OK,Entry,A,OP423,Rain,36.6,34.1,Auto,Good,Yes,StationA,StationX,Bus,Car,44.4,6642,Yes,Fail,Fail,Yes,Match,Missing,Tamper,148,Normal,
